R,G,B,Lv,x,y
0,0,0,0.00592740019783378,0.343323200941086,0.348044097423553
1,1,1,0.00616389978677034,0.341410875320435,0.35496112704277
2,2,2,0.00588539987802505,0.346586644649506,0.337034642696381
3,3,3,0.0141799999400973,0.225174859166145,0.259372532367706
4,4,4,0.110605999827385,0.325931251049042,0.446684658527374
5,5,5,0.153711900115013,0.328273892402649,0.453079134225845
6,6,6,0.182485193014145,0.324186712503433,0.445991337299347
7,7,7,0.197247505187988,0.323435634374619,0.440089792013168
8,8,8,0.212850093841553,0.321743249893188,0.432631641626358
9,9,9,0.239062294363976,0.318669885396957,0.421822816133499
10,10,10,0.252257406711578,0.315296560525894,0.408395558595657
11,11,11,0.281404614448547,0.314733624458313,0.403935253620148
12,12,12,0.311953604221344,0.313266605138779,0.398611694574356
13,13,13,0.33521568775177,0.314103931188583,0.391675263643265
14,14,14,0.364520996809006,0.31265190243721,0.386927515268326
15,15,15,0.389066398143768,0.308943271636963,0.375313282012939
16,16,16,0.418852210044861,0.304765969514847,0.364826023578644
17,17,17,0.471183300018311,0.303851097822189,0.364434242248535
18,18,18,0.500820577144623,0.302588164806366,0.359411090612411
19,19,19,0.545483887195587,0.304436028003693,0.358364701271057
20,20,20,0.592589020729065,0.309402257204056,0.354245513677597
21,21,21,0.635053694248199,0.308024793863297,0.3493871986866
22,22,22,0.6759232878685,0.304352760314941,0.343254894018173
23,23,23,0.754810929298401,0.303240656852722,0.34510001540184
24,24,24,0.808289110660553,0.303429663181305,0.346008628606796
25,25,25,0.856169104576111,0.30238750576973,0.342784523963928
26,26,26,0.907536387443542,0.302261233329773,0.341679811477661
27,27,27,0.9881471991539,0.303202480077744,0.341701358556747
28,28,28,1.07027304172516,0.305228918790817,0.336483031511307
29,29,29,1.13666641712189,0.303798228502274,0.332016199827194
30,30,30,1.21369683742523,0.303624957799911,0.33110523223877
31,31,31,1.30901527404785,0.302215695381165,0.332857757806778
32,32,32,1.40577471256256,0.301615029573441,0.336634635925293
33,33,33,1.5129588842392,0.301313191652298,0.339060485363007
34,34,34,1.58506512641907,0.3005730509758,0.338077127933502
35,35,35,1.67425715923309,0.29801332950592,0.333037078380585
36,36,36,1.75370895862579,0.298590838909149,0.328883528709412
37,37,37,1.89686942100525,0.301150381565094,0.330116152763367
38,38,38,1.98847103118896,0.302083522081375,0.328928679227829
39,39,39,2.05467844009399,0.301085740327835,0.327422261238098
40,40,40,2.17020440101624,0.301291882991791,0.327420771121979
41,41,41,2.30414700508118,0.301824748516083,0.328857868909836
42,42,42,2.44038438796997,0.300195962190628,0.330276429653168
43,43,43,2.58708119392395,0.29796090722084,0.327570587396622
44,44,44,2.68026280403137,0.297236919403076,0.326361268758774
45,45,45,2.81162643432617,0.297955185174942,0.325596004724503
46,46,46,2.90653276443481,0.300170987844467,0.323553204536438
47,47,47,3.08960294723511,0.301795989274979,0.32304185628891
48,48,48,3.22250127792358,0.302970767021179,0.324369162321091
49,49,49,3.33491182327271,0.303493589162827,0.323538273572922
50,50,50,3.44698119163513,0.303579926490784,0.322937786579132
51,51,51,3.57205748558044,0.303523153066635,0.320450186729431
52,52,52,3.71123576164246,0.301827669143677,0.317381113767624
53,53,53,3.87882137298584,0.300953894853592,0.316630393266678
54,54,54,4.11123323440552,0.300860166549683,0.319765478372574
55,55,55,4.2756028175354,0.302013903856277,0.321150183677673
56,56,56,4.46446180343628,0.303512454032898,0.321755588054657
57,57,57,4.68070554733276,0.305078536272049,0.32242351770401
58,58,58,4.82649707794189,0.305629700422287,0.323416113853455
59,59,59,5.02603816986084,0.30622011423111,0.324349910020828
60,60,60,5.186692237854,0.305811733007431,0.324520200490952
61,61,61,5.37781286239624,0.304935961961746,0.32421875
62,62,62,5.50519180297852,0.302563220262527,0.320732623338699
63,63,63,5.7961220741272,0.302674144506454,0.321001797914505
64,64,64,5.94740152359009,0.302610784769058,0.320572048425674
65,65,65,6.17606210708618,0.302256941795349,0.322041481733322
66,66,66,6.43379402160645,0.302328824996948,0.324689477682114
67,67,67,6.71767091751099,0.301672399044037,0.325998216867447
68,68,68,6.90459537506104,0.302737176418304,0.325764417648315
69,69,69,7.13394403457642,0.3043312728405,0.32572939991951
70,70,70,7.4013843536377,0.305672287940979,0.325105249881744
71,71,71,7.56349468231201,0.306071281433105,0.324823379516602
72,72,72,7.76475763320923,0.305562287569046,0.323499113321304
73,73,73,8.09476184844971,0.303762555122375,0.321555435657501
74,74,74,8.29184913635254,0.302905142307281,0.319900244474411
75,75,75,8.53244400024414,0.303123980760574,0.319449365139008
76,76,76,8.73726177215576,0.303015351295471,0.318689793348312
77,77,77,8.95798015594482,0.302600741386414,0.319320142269135
78,78,78,9.24287033081055,0.302413284778595,0.317991971969604
79,79,79,9.5928373336792,0.302359730005264,0.319127321243286
80,80,80,9.82732963562012,0.302009165287018,0.320000618696213
81,81,81,10.175952911377,0.302302867174149,0.322088599205017
82,82,82,10.5718412399292,0.303571194410324,0.322679698467255
83,83,83,10.8914022445679,0.305128574371338,0.322728633880615
84,84,84,11.1855535507202,0.304089993238449,0.320664674043655
85,85,85,11.3970413208008,0.302999556064606,0.318465083837509
86,86,86,11.7271013259888,0.303181678056717,0.318212360143661
87,87,87,11.9480991363525,0.302607536315918,0.317801684141159
88,88,88,12.2495679855347,0.30213537812233,0.318020612001419
89,89,89,12.5710887908936,0.302972137928009,0.318334460258484
90,90,90,12.8344993591309,0.302629768848419,0.317482739686966
91,91,91,13.0674257278442,0.302211493253708,0.317222386598587
92,92,92,13.3561925888062,0.302684813737869,0.317198514938354
93,93,93,13.666072845459,0.302337288856506,0.317411452531815
94,94,94,13.9784164428711,0.302448362112045,0.317480742931366
95,95,95,14.2951955795288,0.302238136529922,0.316990405321121
96,96,96,14.6959857940674,0.301820874214172,0.317523151636124
97,97,97,15.2693367004395,0.3018459379673,0.318039655685425
98,98,98,15.6891860961914,0.302363663911819,0.317217975854874
99,99,99,16.0498085021973,0.302142113447189,0.31703782081604
100,100,100,16.373498916626,0.3025022149086,0.316845566034317
101,101,101,16.6886501312256,0.302162379026413,0.31723541021347
102,102,102,16.8997230529785,0.302306056022644,0.316674053668976
103,103,103,17.3253192901611,0.302309602499008,0.317046046257019
104,104,104,17.6237506866455,0.302092105150223,0.316803246736526
105,105,105,17.8653316497803,0.302213668823242,0.316037952899933
106,106,106,18.3952255249023,0.301768481731415,0.317250937223434
107,107,107,18.7424621582031,0.302143275737762,0.31706628203392
108,108,108,19.1340713500977,0.302242755889893,0.316864848136902
109,109,109,19.2694911956787,0.302354633808136,0.316107004880905
110,110,110,19.8340702056885,0.302417486906052,0.316636681556702
111,111,111,20.2747116088867,0.301444381475449,0.315662622451782
112,112,112,20.524715423584,0.300351560115814,0.313580721616745
113,113,113,21.0023765563965,0.300588011741638,0.312625110149384
114,114,114,21.4065437316895,0.301172852516174,0.312553822994232
115,115,115,22.143798828125,0.302349597215652,0.314042717218399
116,116,116,22.6462707519531,0.302173972129822,0.315235018730164
117,117,117,23.1210918426514,0.30257984995842,0.315640538930893
118,118,118,23.5660457611084,0.302522420883179,0.315955281257629
119,119,119,24.0481586456299,0.302392274141312,0.316439568996429
120,120,120,24.3593616485596,0.302232772111893,0.315739423036575
121,121,121,24.8331985473633,0.302178084850311,0.315792679786682
122,122,122,25.1127433776855,0.302620381116867,0.315471708774567
123,123,123,25.5676078796387,0.302724719047546,0.315194547176361
124,124,124,25.9009208679199,0.303040087223053,0.315080732107162
125,125,125,26.3750858306885,0.302497923374176,0.315066367387772
126,126,126,26.8135013580322,0.30258584022522,0.314896017313004
127,127,127,27.238353729248,0.302054286003113,0.314103007316589
